selection_rank,tile_name,selection_category,already_downloaded,size_bytes,size_gb,download_url,new_positive_polygon_count,positive_polygon_count,high_confidence_polygon_count,moderate_confidence_polygon_count,positive_intersection_m2,new_positive_intersection_m2,min_distance_to_existing_train_km,probe_accepted_patches_2m,probe_positive_patches_2m,probe_negative_patches_2m,probe_retained_polygon_count_2m,static_score,selection_reason,bbox_west,bbox_south,bbox_east,bbox_north
23,USGS_LPC_OR_WesternWildfires_A22_s04440w14040.laz,positive_diversity,False,175239106,0.175239,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04440w14040.laz,0,1,2,4,15954.137,0.0,8.562,,,,,19.0,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=2.04; downloaded=no,-123.890854172,45.5524621071,-123.8786705989,45.5610212647
28,USGS_LPC_OR_WesternWildfires_A22_s04800w13650.laz,positive_diversity,False,161166153,0.161166,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04800w13650.laz,0,1,1,9,121691.524,0.0,5.295,,,,,18.7954,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=1.29; downloaded=no,-123.7444088584,45.4495816561,-123.7322669693,45.4581272372
22,USGS_LPC_OR_WesternWildfires_A22_s04500w13980.laz,positive_diversity,False,185085024,0.185085,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04500w13980.laz,0,1,3,3,82024.828,0.0,6.067,,,,,18.5669,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=2.74; downloaded=no,-123.8664903468,45.5366985823,-123.8543134309,45.5452554786
19,USGS_LPC_OR_WesternWildfires_A22_s04980w13770.laz,positive_diversity,False,138202051,0.138202,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04980w13770.laz,0,1,6,0,126488.965,0.0,1.246,,,,,18.246,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=4.09; downloaded=no,-123.6761249365,45.4843959097,-123.6639850696,45.4929347572
31,USGS_LPC_OR_WesternWildfires_A22_s05190w14040.laz,positive_diversity,False,187142780,0.187143,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05190w14040.laz,0,1,2,10,93828.945,0.0,0.913,,,,,17.9134,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.5982700528,45.560586764,-123.5861248239,45.5691177446
27,USGS_LPC_OR_WesternWildfires_A22_s04920w13590.laz,positive_diversity,False,62771035,0.062771,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04920w13590.laz,0,1,4,1,125324.253,0.0,4.877,,,,,17.8771,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=2.64; downloaded=no,-123.6967708466,45.4392018212,-123.6849017251,45.4429705881
30,USGS_LPC_OR_WesternWildfires_A22_s04500w14220.laz,positive_diversity,False,168411016,0.168411,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04500w14220.laz,0,1,2,6,187296.085,0.0,4.65,,,,,17.6496,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=1.29; downloaded=no,-123.8703343058,45.6024593769,-123.8581429698,45.6110163146
32,USGS_LPC_OR_WesternWildfires_A22_s05280w14100.laz,positive_diversity,False,157271433,0.157271,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05280w14100.laz,0,1,2,7,113658.741,0.0,3.587,,,,,17.5875,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.5640285914,45.577955097,-123.5518844038,45.5864826913
33,USGS_LPC_OR_WesternWildfires_A22_s04890w13650.laz,positive_diversity,False,175865391,0.175865,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04890w13650.laz,0,1,4,0,83470.567,0.0,5.414,,,,,17.4141,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.7093631748,45.4505513626,-123.6972258724,45.459093568
63,USGS_LPC_OR_WesternWildfires_A22_s04410w13920.laz,hard_negative,True,5849429,0.005849,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04410w13920.laz,0,0,0,0,0.0,0.0,7.038,,,,,17.0378,hard_negative; additional_new_polygons=0; selected_spatial_novelty_km=1.42; downloaded=yes,-123.8990917076,45.5266615109,-123.8888714568,45.5278016559
