selection_rank,tile_name,selection_category,already_downloaded,size_bytes,size_gb,download_url,new_positive_polygon_count,positive_polygon_count,high_confidence_polygon_count,moderate_confidence_polygon_count,positive_intersection_m2,new_positive_intersection_m2,min_distance_to_existing_train_km,probe_accepted_patches_2m,probe_positive_patches_2m,probe_negative_patches_2m,probe_retained_polygon_count_2m,static_score,selection_reason,bbox_west,bbox_south,bbox_east,bbox_north
52,USGS_LPC_OR_WesternWildfires_A22_s04980w13800.laz,positive_diversity,False,146971187,0.146971,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04980w13800.laz,0,1,4,2,135477.144,0.0,0.844,,,,,14.8438,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.6765774122,45.4926171541,-123.664435755,45.501156006
53,USGS_LPC_OR_WesternWildfires_A22_s04500w14070.laz,positive_diversity,False,168080886,0.168081,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04500w14070.laz,0,1,1,3,30570.836,0.0,7.297,,,,,14.7967,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.867930804,45.5613591884,-123.8557484846,45.5699161015
54,USGS_LPC_OR_WesternWildfires_A22_s04470w13920.laz,positive_diversity,False,106613644,0.106614,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04470w13920.laz,0,1,1,4,10462.836,0.0,5.215,,,,,13.7152,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=1.98; downloaded=no,-123.877225967,45.5211241934,-123.8651213567,45.5284782962
55,USGS_LPC_OR_WesternWildfires_A22_s04890w13590.laz,positive_diversity,False,63153110,0.063153,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04890w13590.laz,0,1,2,2,121423.192,0.0,5.739,,,,,14.7392,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.92; downloaded=no,-123.7084496795,45.4400009809,-123.6966419681,45.4426509056
56,USGS_LPC_OR_WesternWildfires_A22_s04470w14250.laz,positive_diversity,False,15014612,0.015015,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04470w14250.laz,0,1,1,6,37290.437,0.0,4.058,,,,,14.5576,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=1.04; downloaded=no,-123.8748068339,45.6105641823,-123.8703343101,45.6188991577
57,USGS_LPC_OR_WesternWildfires_A22_s04440w14070.laz,positive_diversity,False,141106286,0.141106,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04440w14070.laz,0,1,1,2,3417.79,0.0,9.113,,,,,14.5,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.8913377917,45.5606821751,-123.8791524161,45.5692413385
58,USGS_LPC_OR_WesternWildfires_A22_s05130w13560.laz,positive_diversity,False,132014949,0.132015,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05130w13560.laz,0,1,4,2,363065.719,0.0,0.0,,,,,14.0,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=1.29; downloaded=no,-123.6145721101,45.4284206996,-123.6024524171,45.4369538811
59,USGS_LPC_OR_WesternWildfires_A22_s05250w14100.laz,positive_diversity,False,164063096,0.164063,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05250w14100.laz,0,1,1,7,57980.588,0.0,2.673,,,,,14.1733,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.5757372279,45.5776476031,-123.5635914977,45.5861763275
60,USGS_LPC_OR_WesternWildfires_A22_s04860w13590.laz,positive_diversity,False,89785348,0.089785,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04860w13590.laz,0,1,1,3,46280.664,0.0,6.588,,,,,14.0876,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.7201283903,45.4337867347,-123.7079931366,45.4423300535
61,USGS_LPC_OR_WesternWildfires_A22_s05310w14520.laz,hard_negative,True,217778127,0.217778,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05310w14520.laz,0,0,0,0,0.0,0.0,6.393,100,0,100,0,29.3932,hard_negative; additional_new_polygons=0; selected_spatial_novelty_km=10.05; downloaded=yes,-123.5584289235,45.6933554681,-123.54626115,45.7018819295
62,USGS_LPC_OR_WesternWildfires_A22_s05310w13800.laz,hard_negative,True,203939964,0.20394,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05310w13800.laz,0,0,0,0,0.0,0.0,5.801,100,0,100,0,28.8012,hard_negative; additional_new_polygons=0; selected_spatial_novelty_km=4.66; downloaded=yes,-123.5479711061,45.4960464369,-123.5358463475,45.5045728828
