tile_name,reason
USGS_LPC_OR_WesternWildfires_A22_s04920w13440.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04950w13260.laz,already_in_frozen_train
USGS_LPC_OR_WesternWildfires_A22_s04950w13290.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04950w13410.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04950w13440.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04980w13260.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04980w13290.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04980w13470.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04980w13530.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04980w13560.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04980w13950.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04980w14280.laz,already_in_frozen_train
USGS_LPC_OR_WesternWildfires_A22_s04980w14370.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04980w14400.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05010w13350.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05010w13440.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05010w13470.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05010w13500.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05010w13560.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05010w13950.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05010w13980.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05010w14430.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05010w14460.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05040w13260.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05040w13350.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05040w13380.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05040w13410.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05040w13470.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05040w13500.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05040w13530.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05040w13590.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05040w13830.laz,already_in_frozen_train
USGS_LPC_OR_WesternWildfires_A22_s05040w13860.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05040w13890.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05040w13920.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05040w13950.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05040w13980.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05040w14160.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05040w14190.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05040w14310.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05040w14340.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05040w14430.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05040w14460.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05070w13260.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05070w13350.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05070w13380.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05070w13410.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05070w13470.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05070w13500.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05070w13590.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05070w13740.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05070w13830.laz,already_in_frozen_train
USGS_LPC_OR_WesternWildfires_A22_s05070w13890.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05070w13920.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05070w13950.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05070w13980.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05070w14040.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05070w14070.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05070w14130.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05070w14160.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05070w14190.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05070w14310.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05070w14340.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05070w14550.laz,already_in_frozen_train
USGS_LPC_OR_WesternWildfires_A22_s05100w13260.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05100w13290.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05100w13320.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05100w13350.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05100w13380.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05100w13440.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05100w13470.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05100w13500.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05100w13680.laz,already_in_frozen_train
USGS_LPC_OR_WesternWildfires_A22_s05100w13950.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05100w14040.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05100w14070.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05100w14130.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05100w14160.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05100w14370.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05100w14400.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05130w13260.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05130w13290.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05130w13350.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05130w13380.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05130w13410.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05130w13440.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05130w13470.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05130w13500.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05130w13650.laz,already_in_frozen_train
USGS_LPC_OR_WesternWildfires_A22_s05130w13710.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05130w14070.laz,already_in_frozen_train
USGS_LPC_OR_WesternWildfires_A22_s05130w14130.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05130w14160.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05130w14190.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05130w14370.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05130w14400.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05130w14430.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05130w14460.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05160w13260.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05160w13290.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05160w13410.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05160w13440.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05160w13470.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05160w13500.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05160w13530.laz,already_in_frozen_train
USGS_LPC_OR_WesternWildfires_A22_s05160w13680.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05160w13710.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05160w13740.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05160w14100.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05160w14130.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05160w14160.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05160w14190.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05190w13260.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05190w13290.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05190w13380.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05190w13410.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05190w13470.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05190w13500.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05190w13620.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05190w13650.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05190w13680.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05190w13710.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05190w14100.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05190w14130.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05190w14160.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05190w14220.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05190w14250.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w13260.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w13290.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w13350.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w13380.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w13410.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w13470.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w13500.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w13530.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w13560.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w13620.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w13650.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w13680.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w13710.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w13740.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w13770.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w13950.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w13980.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w14130.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w14160.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w14220.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w14250.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05220w14430.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05250w13260.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05250w13290.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05250w13410.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05250w13440.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05250w13500.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05250w13530.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05250w13560.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05250w13590.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s05250w13620.laz,low_or_unknown_slido_overlap_only
