left_id,right_id,left_project,right_project,iou,smaller_overlap,left_overlap,right_overlap,intersection_area,left_area,right_area,area_ratio_small_to_large
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04590w14310,USGS Lidar Point Cloud OR_NORTHCOAST_2008_2009 OR_NorthCoast_2008-2009_002398,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.560846436144634,1.0,1.0,0.560846436144634,0.00010428644232599844,0.00010428644232599844,0.0001859447356800258,0.560846436144634
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04920w13740,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000457,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5608250163978071,1.0,1.0,0.5608250163978071,0.00010369864561409713,0.00010369864561409713,0.00018490374462993124,0.5608250163978071
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04650w14310,USGS Lidar Point Cloud OR_NORTHCOAST_2008_2009 OR_NorthCoast_2008-2009_002376,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5607878781125158,1.0,1.0,0.5607878781125158,0.00010423271760482872,0.00010423271760482872,0.0001858683500000968,0.5607878781125158
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05130w14190,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000190,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5606907859506874,0.9963725763735666,0.9963725763735666,0.5618376469055524,0.00010336476132881192,0.00010374107415222327,0.00018397621074008952,0.5638830897478501
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05280w13920,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000270,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5606171643936296,0.9962934111585641,0.9962934111585641,0.561788892086094,0.0001030854792472793,0.00010346899627430422,0.00018349504715995966,0.5638789595454657
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05100w14340,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000758,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5600660128376652,0.9955376741105607,0.9955376741105607,0.5614755406354534,0.0001033813257542779,0.00010384471471322415,0.00018412436210003992,0.563992257889276
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04710w13380,USGS Lidar Point Cloud OR_COAST_CENTRAL_OLC_2011_2012 OR_Coast_Central_OLC_2011-2012_000923,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5596558965532614,0.9986687627050668,0.9986687627050668,0.5600737272033579,0.00010356311393187348,0.00010370116478996991,0.0001849097875899303,0.5608203121186063
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04950w13680,USGS Lidar Point Cloud OR_OLC_TILLAMOOKYAMHILL_2012 000640,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.558523062213738,0.8982679884555095,0.596237914257254,0.8982679884555095,6.179481732384333e-05,0.0001036412073875282,6.879329789998853e-05,0.6637639567702186
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05100w14370,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000753,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5569553324591029,0.9920155083439742,0.9920155083439742,0.5594632934303297,0.00010303080328631017,0.0001038600731739619,0.00018416007715998736,0.5639662774670453
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05040w14430,USGS Lidar Point Cloud OR_NORTHCOAST_2008_2009 OR_NorthCoast_2008-2009_002474,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5569091000508077,0.7896693971700296,0.6539057223666892,0.7896693971700296,6.797002202016553e-05,0.00010394468146594707,8.607402320990591e-05,0.828075299245631
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05310w13860,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000276,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5559101205540377,0.9908831813278057,0.9908831813278057,0.5587680863995621,0.00010246883766091666,0.00010341162267342767,0.00018338348262009289,0.5639091438112819
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04950w14430,USGS Lidar Point Cloud OR_NORTHCOAST_2008_2009 OR_NorthCoast_2008-2009_002487,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.554120944394636,0.8997750859057106,0.8997750859057106,0.5905728084291101,9.359953777113528e-05,0.0001040254828537715,0.00015848941304985695,0.6563560357249073
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05010w13560,USGS Lidar Point Cloud OR_OLC_TILLAMOOKYAMHILL_2012 000664,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5530094056709798,0.9907986257958443,0.9907986257958443,0.555864158338386,0.00010257385133705868,0.0001035264368222834,0.00018453042851994096,0.5610263719248665
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05040w14340,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000756,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5522162007539324,0.9866041350585508,0.9866041350585508,0.5563879160500359,0.00010250674252212847,0.00010389855351259512,0.00018423610500000517,0.563942412441862
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04800w14070,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000558,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5503346108344266,0.9877599805394723,0.9877599805394723,0.5541134306595231,0.00010270233307230888,0.00010397498896059471,0.00018534532351989618,0.5609798347538741
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05100w13410,USGS Lidar Point Cloud OR_OLC_TILLAMOOKYAMHILL_2012 000609,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5478808693606912,0.9849327308251022,0.9849327308251022,0.5525116644529743,0.00010181233419009155,0.0001033698353234752,0.00018427182761995256,0.5609638578973021
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05160w13290,USGS Lidar Point Cloud OR_COAST_CENTRAL_OLC_2011_2012 OR_Coast_Central_OLC_2011-2012_000734,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.547245240088402,0.9293651751478459,0.9293651751478459,0.5709942897572057,9.596197981978626e-05,0.00010325540743929895,0.00016806118999997455,0.6143917429081311
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04680w14220,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000655,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5471359823683273,0.9840758280382728,0.9840758280382728,0.5520234182570913,0.00010250082793790949,0.00010415948143167177,0.00018568202823991833,0.5609561809454607
