split,category,channel,patch_statistic,count,min,p10,p25,median,p75,p90,max,mean,std
train,positive_boundary,aspect_sin,median,42,-0.86669921875,-0.770654296875,-0.7042236328125,-0.3607177734375,0.33502197265625,0.6230468749999999,0.9111328125,-0.17108744666689918,0.5480614428178886
train,positive_boundary,aspect_sin,p90,42,-0.099395751953125,0.08380432128906251,0.3551025390625,0.9072265625,0.970947265625,0.983984375,0.9970703125,0.6630714053199405,0.36597856816586494
train,positive_boundary,curvature,mean,42,-0.0040882255270844325,-0.0025970957340177847,-0.0017965276656468632,-0.0007046887685646652,0.00046012289840291487,0.00110395052952299,0.00423053180657007,-0.0006548235273623417,0.0016062316272857783
train,positive_boundary,curvature,std,42,0.10882886654610936,0.14230035261650373,0.18065913278555323,0.21336927608314932,0.2575383992394676,0.2900650993282078,0.3687431476318209,0.218353172326707,0.05742617878998963
train,positive_boundary,curvature,p10,42,-0.376953125,-0.28785400390625,-0.243316650390625,-0.21453857421875,-0.187744140625,-0.12772827148437502,-0.088836669921875,-0.21574619838169642,0.06141472751840653
train,positive_boundary,curvature,median,42,-0.0023565292358398438,-3.3581256866455056e-05,0.00030732154846191406,0.0016751289367675781,0.0028154850006103516,0.004657840728759763,0.0091400146484375,0.001881229735556103,0.0019894209101076615
train,positive_boundary,curvature,p90,42,0.087554931640625,0.123760986328125,0.178955078125,0.20526123046875,0.2318115234375,0.279931640625,0.370849609375,0.2086392357235863,0.06119918380654097
train,positive_boundary,local_relief,mean,42,-1.8824658785015345,-0.5292062594438903,-0.1792033243109472,0.35491026705130935,0.850652405526489,1.0823875181376934,1.5422511231154203,0.28217738757043015,0.7134735293604446
train,positive_boundary,local_relief,std,42,2.0452920620508883,2.5787250452001276,2.8957348805597785,3.266557355228009,3.96001222102422,4.217996892648234,6.8629910690230025,3.511532219769941,0.9852602606850237
train,positive_boundary,local_relief,p10,42,-11.2109375,-6.416015624999999,-4.2607421875,-3.82958984375,-3.049560546875,-2.18701171875,-1.294921875,-4.0686151413690474,1.8641581178248692
train,positive_boundary,local_relief,median,42,-1.39599609375,-0.40037841796875,-0.172271728515625,0.51953125,0.88360595703125,1.1921875,1.419921875,0.3939672197614397,0.6342093625257097
train,positive_boundary,local_relief,p90,42,1.4580078125,2.6676757812500003,3.4794921875,4.48828125,5.67626953125,6.405078125,9.3515625,4.594575427827381,1.584011369461297
train,positive_boundary,multidirectional_hillshade,mean,42,197.52912712097168,199.9766492843628,203.80968236923218,206.63531684875488,210.25401258468628,213.1703395843506,214.65027618408203,206.77739638373964,4.489213292247776
train,positive_boundary,multidirectional_hillshade,std,42,6.510800637441376,8.374226998692766,9.339898193607574,11.188824779437418,12.676880342908674,14.11777381580382,16.131294155752247,11.083779895629817,2.2623548657368713
train,positive_boundary,multidirectional_hillshade,p10,42,176.25,182.0375,187.3125,190.5,198.0625,203.625,208.875,191.97916666666666,8.200469855634774
train,positive_boundary,multidirectional_hillshade,median,42,200.25,203.6875,207.21875,211.0625,214.125,216.7375,217.125,210.27380952380952,4.879442275106835
train,positive_boundary,multidirectional_hillshade,p90,42,213.625,214.775,216.375,217.0625,217.375,217.625,217.625,216.64583333333334,1.1019181958373592
train,positive_boundary,slope_degrees,mean,42,10.21089608364855,13.112649635889102,19.21138744449854,24.526601507153828,28.49813641110086,32.516489051189275,36.05979177867994,24.00415049761969,6.91622139020155
train,positive_boundary,slope_degrees,std,42,10.707158602813813,12.342498101476647,13.122860595814874,14.042942126783768,15.46210746450811,16.50035785388165,19.145364750171836,14.319431300087539,1.813486903450197
train,positive_boundary,slope_degrees,p10,42,1.33544921875,1.7114746093750002,4.1591796875,6.634765625,9.595703125,14.663281249999999,17.0625,7.357131231398809,4.46268596149697
train,positive_boundary,slope_degrees,median,42,6.30859375,8.18125,16.046875,22.0078125,27.8671875,32.3265625,36.21875,21.82021949404762,8.509388906824714
