mask,tp_plain,fp_plain,fn_plain,tn_plain,precision_plain,recall_plain,f1_plain,iou_plain,gt_positive_fraction_plain,pred_positive_fraction_plain,tp_efficientnet,fp_efficientnet,fn_efficientnet,tn_efficientnet,precision_efficientnet,recall_efficientnet,f1_efficientnet,iou_efficientnet,gt_positive_fraction_efficientnet,pred_positive_fraction_efficientnet,f1_change,precision_change,recall_change,iou_change,fp_change,fn_change,pred_positive_fraction_change
mask_40.h5,40,798,3,15543,0.0477326968973747,0.9302325581395349,0.09080590238365494,0.04756242568370987,0.00262451171875,0.0511474609375,20,547,23,15794,0.03527336860670194,0.46511627906976744,0.06557377049180328,0.03389830508474576,0.00262451171875,0.03460693359375,-0.025232131891851653,-0.012459328290672762,-0.46511627906976744,-0.01366412059896411,-251,20,-0.01654052734375
mask_41.h5,0,43,0,16341,0.0,,0.0,0.0,0.0,0.00262451171875,0,16,0,16368,0.0,,0.0,0.0,0.0,0.0009765625,0.0,0.0,,0.0,-27,0,-0.00164794921875
mask_42.h5,0,23,0,16361,0.0,,0.0,0.0,0.0,0.00140380859375,0,4,0,16380,0.0,,0.0,0.0,0.0,0.000244140625,0.0,0.0,,0.0,-19,0,-0.00115966796875
mask_43.h5,0,698,0,15686,0.0,,0.0,0.0,0.0,0.0426025390625,0,115,0,16269,0.0,,0.0,0.0,0.0,0.00701904296875,0.0,0.0,,0.0,-583,0,-0.03558349609375
mask_44.h5,384,102,81,15817,0.7901234567901234,0.8258064516129032,0.807570977917981,0.6772486772486772,0.02838134765625,0.0296630859375,357,188,108,15731,0.655045871559633,0.7677419354838709,0.7069306930693069,0.5467075038284839,0.02838134765625,0.03326416015625,-0.10064028484867416,-0.1350775852304904,-0.058064516129032295,-0.13054117342019333,86,27,0.00360107421875
mask_45.h5,0,109,0,16275,0.0,,0.0,0.0,0.0,0.00665283203125,0,76,0,16308,0.0,,0.0,0.0,0.0,0.004638671875,0.0,0.0,,0.0,-33,0,-0.00201416015625
mask_46.h5,13,107,9,16255,0.10833333333333334,0.5909090909090909,0.18309859154929578,0.10077519379844961,0.0013427734375,0.00732421875,0,55,22,16307,0.0,0.0,0.0,0.0,0.0013427734375,0.00335693359375,-0.18309859154929578,-0.10833333333333334,-0.5909090909090909,-0.10077519379844961,-52,13,-0.00396728515625
mask_47.h5,0,117,0,16267,0.0,,0.0,0.0,0.0,0.00714111328125,0,113,0,16271,0.0,,0.0,0.0,0.0,0.00689697265625,0.0,0.0,,0.0,-4,0,-0.000244140625
mask_48.h5,256,229,34,15865,0.5278350515463918,0.8827586206896552,0.6606451612903226,0.4932562620423892,0.0177001953125,0.02960205078125,226,105,64,15989,0.6827794561933535,0.7793103448275862,0.7278582930756844,0.5721518987341773,0.0177001953125,0.02020263671875,0.06721313178536181,0.1549444046469617,-0.10344827586206895,0.07889563669178806,-124,30,-0.0093994140625
mask_49.h5,35,1,16,16332,0.9722222222222222,0.6862745098039216,0.8045977011494253,0.6730769230769231,0.00311279296875,0.002197265625,38,4,13,16329,0.9047619047619048,0.7450980392156863,0.8172043010752689,0.6909090909090909,0.00311279296875,0.0025634765625,0.012606599925843565,-0.06746031746031744,0.05882352941176472,0.01783216783216779,3,-3,0.0003662109375
mask_50.h5,0,24,0,16360,0.0,,0.0,0.0,0.0,0.00146484375,0,43,0,16341,0.0,,0.0,0.0,0.0,0.00262451171875,0.0,0.0,,0.0,19,0,0.00115966796875
mask_51.h5,6911,127,982,8364,0.9819551008809321,0.8755859622450273,0.9257250016743688,0.861720698254364,0.48175048828125,0.4295654296875,6461,83,1432,8408,0.9873166259168704,0.8185734194856201,0.8950613008242709,0.8100551654964895,0.48175048828125,0.3994140625,-0.03066370085009784,0.0053615250359383415,-0.05701254275940715,-0.051665532757874555,-44,450,-0.0301513671875
mask_52.h5,90,493,31,15770,0.15437392795883362,0.743801652892562,0.2556818181818182,0.1465798045602606,0.00738525390625,0.03558349609375,64,277,57,15986,0.187683284457478,0.5289256198347108,0.27705627705627706,0.16080402010050251,0.00738525390625,0.02081298828125,0.02137445887445888,0.03330935649864439,-0.2148760330578512,0.014224215540241919,-216,26,-0.0147705078125
