group_by,split,metric,count,min,p10,p25,median,p75,p90,max,mean,std
split+coverage_class,validation,mean_slope_degrees,7,16.53152847290039,19.818434143066405,22.105249404907227,24.331806182861328,24.369338035583496,25.96418609619141,28.353361129760742,23.1665529523577,3.326274718172579
split+coverage_class,validation,distance_to_positive_m,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+coverage_class,validation,boundary_pixel_fraction,7,0.00323486328125,0.004580688476564,0.006233215332029999,0.00741577148438,0.008918762207030001,0.010153198242184,0.0109405517578,0.007413591657364285,0.00237145944023451
split+coverage_class,validation,boundary_of_positive_fraction,7,0.0176412936949,0.01904414530978,0.020825919669700002,0.0291913397483,0.034202592151,0.040317212251500006,0.047305020663,0.02917066824965714,0.009690683455694148
split+coverage_class,validation,positive_fraction,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+coverage_class,validation,ignore_fraction,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+coverage_class,validation,ground_fraction,40,0.2002105712890625,0.2104278564453125,0.21435546875,0.22818756103515625,0.2615165710449219,0.3432373046875,0.43084716796875,0.25258445739746094,0.05819472678845989
split+coverage_class,validation,mean_slope_degrees,40,5.121443271636963,6.924780559539795,20.042940616607666,27.25925350189209,31.876710891723633,35.41101760864258,40.15520095825195,24.690760672092438,9.93153208776369
split+coverage_class,validation,distance_to_positive_m,40,73.5,165.04292641624008,243.28849039903844,364.17575131942056,629.7888620625231,1057.7327802146056,1302.7541018933696,490.80428074434167,334.0331690162362
split+coverage_class,validation,boundary_pixel_fraction,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+coverage_class,validation,boundary_of_positive_fraction,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+is_hard_negative,train,positive_fraction,288,0.0,0.029600524902330002,0.13912582397425,0.41450500488249997,0.72013473510725,0.9336959838865,1.0,0.44893413119844133,0.3302641162997113
split+is_hard_negative,train,ignore_fraction,288,0.0,0.002093505859376002,0.0819625854492,0.133186340332,0.15407562255825,0.3268707275393002,0.983810424805,0.1658901638455128,0.18239268451925794
split+is_hard_negative,train,ground_fraction,288,0.2000885009765625,0.2082489013671875,0.218475341796875,0.24172210693359375,0.2689704895019531,0.29182891845703124,0.3779296875,0.24712769190470377,0.03393267797013321
split+is_hard_negative,train,mean_slope_degrees,288,1.7838722467422485,12.570482730865479,17.958799839019775,22.65400791168213,28.16840648651123,32.53691139221191,40.699806213378906,22.643411128471296,7.867603353360282
split+is_hard_negative,train,distance_to_positive_m,288,0.0,0.0,0.0,0.0,0.0,0.0,1119.6794184051075,30.92910791408525,140.28260974240132
split+is_hard_negative,train,boundary_pixel_fraction,288,0.0,0.0005676269531250007,0.0030136108398475,0.004722595214845001,0.0056800842285150005,0.006626892089841,0.0115966796875,0.004362689124213308,0.002233705463671203
split+is_hard_negative,train,boundary_of_positive_fraction,288,0.0,0.0005688539628470007,0.0063216140201475,0.012314876068750001,0.02630938353515,0.05247909157853001,0.173359451518,0.02133733002815082,0.025591010349212524
split+is_hard_negative,train,positive_fraction,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+is_hard_negative,train,ignore_fraction,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+is_hard_negative,train,ground_fraction,225,0.200286865234375,0.2110748291015625,0.2246856689453125,0.258636474609375,0.2960357666015625,0.3373992919921875,0.41741943359375,0.2667401801215278,0.048575835206348575
split+is_hard_negative,train,mean_slope_degrees,225,8.517353057861328,15.517966842651367,20.944992065429688,29.429153442382812,35.989349365234375,38.52493896484375,43.53438949584961,28.21612363179525,8.834397408877503
split+is_hard_negative,train,distance_to_positive_m,185,50.93378053904894,95.67564927611035,172.65645079173845,267.0,453.5981150754487,700.6095421340249,1351.4001072961332,351.76710655858994,264.6857469439742
split+is_hard_negative,train,boundary_pixel_fraction,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+is_hard_negative,train,boundary_of_positive_fraction,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+is_hard_negative,validation,positive_fraction,19,0.0,0.0,0.00565338134765,0.0368347167969,0.17041015625,0.34794006347659995,0.547592163086,0.11781792891654211,0.15469692169376675
split+is_hard_negative,validation,ignore_fraction,19,0.0,0.0,0.0343475341797,0.579635620117,0.808448791504,0.9594299316402,0.988693237305,0.4634431537829157,0.3839265394810876
split+is_hard_negative,validation,ground_fraction,19,0.208160400390625,0.2130828857421875,0.215545654296875,0.2445831298828125,0.28917694091796875,0.3288055419921875,0.3640289306640625,0.2578558670847039,0.046839332464418515
split+is_hard_negative,validation,mean_slope_degrees,19,5.121443271636963,5.676201343536377,9.58414101600647,21.437726974487305,24.349539756774902,27.307166671752928,30.125259399414062,17.988351746609336,8.288874427260865
split+is_hard_negative,validation,distance_to_positive_m,19,0.0,0.0,0.0,0.0,111.75,234.17928672482668,326.53522015243624,65.9194615256899,112.11181384086784
split+is_hard_negative,validation,boundary_pixel_fraction,19,0.0,0.0,0.000709533691405,0.00239562988281,0.006233215332029999,0.008493041992184,0.0109405517578,0.0035946494654594736,0.0033973463073685003
split+is_hard_negative,validation,boundary_of_positive_fraction,19,0.0,0.0,0.00882064684745,0.0327465109915,0.0572846993634,0.10538795292599999,0.146318732526,0.04262876270805263,0.04234805659873129
split+is_hard_negative,validation,positive_fraction,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+is_hard_negative,validation,ignore_fraction,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+is_hard_negative,validation,ground_fraction,35,0.2002105712890625,0.2102447509765625,0.21369171142578125,0.222412109375,0.24892425537109375,0.3096099853515626,0.43084716796875,0.24438432965959822,0.05494824833398876
split+is_hard_negative,validation,mean_slope_degrees,35,10.08565902709961,18.218835067749023,21.65109157562256,28.598922729492188,33.22161102294922,35.85206909179688,40.15520095825195,27.370298058646068,7.431003843580253
split+is_hard_negative,validation,distance_to_positive_m,35,73.5,161.68574507388448,269.86501509373926,462.7591166038763,687.5796495817128,1099.9496692613034,1302.7541018933696,525.134327451016,343.3238198485888
split+is_hard_negative,validation,boundary_pixel_fraction,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+is_hard_negative,validation,boundary_of_positive_fraction,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
